Player;Squad;Nation;Pos;Age;MP;Min;Gls;G-PK;Ast;xG;xAG;Gls/90;G-PK/90;Ast/90;xG/90;xAG/90;Competition;Sh;Sh/90;SoT/90;Passes%;ShortPasses%;MediumPasses%;LongPasses%;A-xAG;TklW/90;Blocks/90;Int/90;Tkl+Int/90;Clr/90;Touches/90;Dribbles/90;Dribbles%;SCA/90;GCA/90;Aerial%;Points/90;xGA;OG;PSxG;PSxG/SoT;PSxG+/-;GA;GA/90;Save%;CS%;SoTA/90;SoTA/GA;SoT/G;G-xG;PassesCompleted/90;PassesAttempted/90;ShortPassesCompleted/90;MediumPassesCompleted/90;LongPassesCompleted/90;TotDistPasses/90;PrgDistPasses/90;xA/90;KP/90;FinalThirdPasses/90;PPA/90;CrsPA/90;PassesProgressive/90;xGA/90;Recov/90;Fls/90;Fld/90;AerialW/90;xGD;xGD/90;MP_Squad
Vitor Roque;Barcelona;BRA;FW;19;11;282;2;2;0;2.5;0.0;0.64;0.64;0.0;0.79;0.02;La Liga;11;3.51;1.60;69.1;81.8;63.6;100.0;0.0;0.09;0.27;0.0;0.18;0.45;9.55;0.36;33.3;1.28;0.32;37.5;2.73;3.6;0;0;0;0;0;0;0.0;0;0.0;0.0;2.5;-0.5;3.45;5.0;2.45;0.64;0.09;41.36;4.09;0.0;0.09;0.27;0.0;0.0;0.09;0.33;0.55;1.09;0.82;0.27;-1.1;0.46;33
Marc-André ter Stegen;Barcelona;GER;GK;32;24;2160;0;0;0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;89.6;99.4;97.6;73.6;-0.1;0.0;0.0;0.0;0.0;0.12;38.38;0.0;0;0.25;0.04;100.0;2.21;25.4;0;25.0;0.27;-1.0;26;1.08;72.1;50.0;3.58;3.31;0.0;0.0;32.92;36.75;6.67;17.21;8.96;810.46;576.92;0.0;0.04;0.38;0.04;0.0;0.04;1.06;2.0;0.0;0.04;0.12;-25.4;-1.06;33
Ferrán Torres;Barcelona;ESP;FW;24;26;1095;7;7;2;5.3;2.5;0.58;0.58;0.16;0.44;0.2;La Liga;36;2.96;1.15;77.3;83.7;79.1;80.6;-0.5;0.23;0.27;0.19;0.54;0.19;20.77;0.38;41.7;3.95;0.74;15.4;2.12;12.8;0;0;0;0;0;0;0.0;0;0.0;0.0;2.0;1.7000000000000002;12.31;15.92;7.12;3.5;1.12;186.65;39.46;0.07;0.85;0.92;0.73;0.15;1.5;0.49;1.5;0.27;0.46;0.08;-7.500000000000001;-0.04999999999999999;33
Lamine Yamal;Barcelona;ESP;FW;16;33;1870;4;4;4;4.7;5.5;0.19;0.19;0.19;0.23;0.27;La Liga;50;2.41;0.91;79.4;87.5;78.2;55.4;-1.5;1.0;0.88;0.48;2.12;0.33;37.76;1.64;42.9;4.47;0.82;15.4;2.12;26.4;0;0;0;0;0;0;0.0;0;0.0;0.0;4.75;-0.7000000000000002;22.79;28.7;14.39;6.85;0.94;322.39;79.79;0.18;0.91;1.03;1.48;0.48;2.18;0.8;2.73;0.58;1.3;0.06;-21.7;-0.5700000000000001;33
Amath;Mallorca;SEN;FW,MF;27;15;394;0;0;0;1.6;0.4;0.0;0.0;0.0;0.35;0.09;La Liga;12;2.74;0.46;67.3;76.4;63.2;75.0;-0.4;0.4;0.13;0.2;0.8;0.4;13.2;0.53;32.0;3.87;0.00;54.5;0.87;6.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.6;5.07;7.53;2.8;1.6;0.4;74.53;19.73;0.02;0.2;0.53;0.27;0.13;0.87;0.41;1.4;0.67;0.47;0.4;-4.6;-0.06;33
Copete;Mallorca;ESP;DF;24;16;1160;1;1;0;0.5;0.1;0.08;0.08;0.0;0.04;0.01;La Liga;6;0.47;0.08;77.6;87.2;85.6;49.5;-0.1;1.44;0.75;1.62;4.19;2.56;40.12;0.25;50.0;0.62;0.00;56.7;0.94;16.3;0;0;0;0;0;0;0.0;0;0.0;0.0;1.0;0.5;24.31;31.31;8.5;12.25;3.12;482.25;170.12;0.03;0.19;2.31;0.31;0.12;2.75;1.02;4.38;1.62;0.62;1.06;-15.8;-0.98;33
Jaume Costa;Mallorca;ESP;DF;36;26;1419;0;0;0;0.2;0.9;0.0;0.0;0.0;0.01;0.06;La Liga;4;0.25;0.06;72.7;88.7;73.3;34.3;-0.9;0.73;0.5;0.58;1.85;0.96;32.92;0.31;47.1;1.96;0.06;45.8;1.00;19.4;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.2;20.31;27.92;11.5;7.08;1.35;314.96;139.04;0.04;0.54;1.27;0.65;0.42;1.65;0.75;2.77;0.88;0.69;0.42;-19.2;-0.74;33
Samu Costa;Mallorca;POR;MF;23;31;2153;1;1;1;1.0;0.5;0.04;0.04;0.04;0.04;0.02;La Liga;21;0.88;0.13;76.7;82.8;83.4;66.0;0.5;1.48;0.87;1.13;3.84;1.84;42.84;0.39;52.2;1.84;0.08;65.5;0.94;30.5;0;0;0;0;0;0;0.0;0;0.0;0.0;3.0;0.0;24.9;32.48;10.55;10.87;3.06;462.77;121.74;0.03;0.39;2.29;0.35;0.13;2.87;0.98;5.1;1.97;1.55;1.84;-29.5;-0.94;33
Sergi Darder;Mallorca;ESP;MF;30;32;1890;0;0;5;1.7;5.6;0.0;0.0;0.24;0.08;0.27;La Liga;25;1.19;0.38;72.6;88.5;78.1;51.7;-0.6;0.72;0.62;0.47;1.56;0.41;34.28;0.81;49.1;3.57;0.33;40.0;0.97;27.2;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-1.7;20.22;27.84;8.66;7.59;3.34;389.31;138.06;0.14;1.38;3.44;0.94;0.41;3.62;0.85;3.66;0.56;0.97;0.25;-25.5;-0.77;33
Giovanni González;Mallorca;URU;DF;29;31;2201;0;0;1;0.3;1.1;0.0;0.0;0.04;0.01;0.04;La Liga;10;0.41;0.08;73.8;87.4;75.1;50.0;-0.1;1.39;0.65;0.94;3.1;1.81;42.55;0.45;50.0;1.64;0.08;50.7;1.00;28.3;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.3;25.84;35.0;13.23;9.61;2.48;429.0;181.16;0.05;0.52;2.23;0.68;0.32;2.52;0.91;4.61;1.16;0.61;1.1;-28.0;-0.9;33
Dominik Greif;Mallorca;SVK;GK;27;1;90;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;La Liga;0;0.00;0.00;75.0;100.0;100.0;57.9;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0.0;0;0.00;0.00;0;1.00;1.5;0;0.7;0.16;+0.7;0;0.00;100.0;100.0;4.0;0.0;0.0;0.0;24.0;32.0;2.0;11.0;11.0;959.0;841.0;0.0;0.0;2.0;0.0;0.0;0.0;1.5;1.0;0.0;0.0;0.0;-1.5;-1.5;33
Cyle Larin;Mallorca;CAN;FW;29;31;1576;2;2;2;7.6;1.4;0.11;0.11;0.11;0.44;0.08;La Liga;61;3.48;1.31;63.7;71.8;65.3;66.7;0.6;0.23;0.52;0.06;0.55;0.45;15.48;0.45;41.2;1.32;0.17;47.2;0.87;19.5;0;0;0;0;0;0;0.0;0;0.0;0.0;11.5;-5.6;5.39;8.45;3.03;1.52;0.32;71.32;12.1;0.02;0.35;0.26;0.03;0.0;0.35;0.63;1.19;0.77;0.87;2.45;-11.9;-0.19;33
Toni Lato;Mallorca;ESP;DF;26;26;1447;0;0;1;0.1;1.2;0.0;0.0;0.06;0.01;0.07;La Liga;4;0.25;0.00;75.3;87.1;76.8;49.4;-0.2;0.85;0.65;0.58;1.92;0.92;33.35;0.38;55.6;1.56;0.06;29.6;1.00;19.1;0;0;0;0;0;0;0.0;0;0.0;0.0;0.0;-0.1;21.04;27.92;10.88;8.27;1.5;344.19;110.62;0.05;0.31;0.96;0.42;0.27;1.38;0.73;3.0;0.73;0.65;0.31;-19.0;-0.72;33
